MergeSort
Elements, Best, Worst, Average
282, 7037.756348, 6743.331055, 6740.191406
283, 6983.675781, 6796.743652, 7064.678711
284, 6948.007813, 6882.604492, 6903.217773
285, 6908.420410, 6871.540039, 6905.461914
286, 6898.031250, 6899.164063, 6994.736816
287, 6977.913086, 6958.216309, 6947.804688
288, 7055.500977, 6961.032227, 6971.161133
289, 7068.180664, 7024.413086, 7106.075684
290, 7091.208008, 7018.170898, 7236.507813
291, 7058.300781, 7019.737305, 7065.940430
292, 7122.920410, 7060.713379, 7071.503906
293, 7158.071777, 7064.831055, 7070.589844
294, 7152.446777, 7126.963379, 7184.649414
295, 7284.274414, 7346.616211, 7194.404785
296, 7281.247070, 7198.392090, 7157.920898
297, 7275.345215, 7223.129883, 7261.182129
298, 7295.394531, 7216.322754, 7247.038086
299, 7258.079590, 7239.661621, 7326.343750
300, 7315.268066, 7306.875977, 7386.804688
301, 7397.166504, 7301.097656, 7357.690430
302, 7418.296875, 7342.659180, 7409.599121
303, 7434.089844, 7373.816406, 7454.950195
304, 7449.119629, 7483.141602, 7446.324219
305, 7512.752441, 7501.074219, 7499.671875
306, 7533.395508, 7504.747559, 7476.817871
307, 7667.588867, 7460.524902, 7492.532227
308, 7604.079102, 7564.602539, 7571.233398
309, 7620.657715, 7655.590820, 7590.082031
310, 7663.595215, 7607.489746, 7667.907715
311, 7659.689941, 7854.817871, 7647.961914
312, 7688.008789, 7706.032227, 7674.746094
313, 7698.570313, 7788.552246, 7733.635254
314, 7816.377441, 7696.145508, 7717.363281
315, 7803.807129, 7737.235352, 7755.025879
316, 7829.161133, 7825.083496, 7806.512695
317, 7853.506348, 7863.518555, 7875.731445
318, 7924.621094, 7942.261719, 7861.243652
319, 7916.561523, 7917.805664, 8023.274902
320, 7931.496094, 7935.601563, 7904.518066
321, 7960.679688, 7907.459961, 7953.321777
322, 8044.917969, 7966.316406, 8033.402344
323, 7996.650879, 7965.821777, 8098.040039
324, 8092.534180, 8111.932617, 8146.484375
325, 8063.723633, 8020.823242, 8061.788086
326, 8098.462402, 8014.862305, 8129.298340
327, 8161.686035, 8064.236816, 8101.110352
328, 8190.188477, 8064.083496, 8150.550781
329, 8200.198242, 8129.028809, 8132.985840
330, 8241.379883, 8152.972656, 8199.677734
331, 8239.548828, 8209.278320, 8265.317383
332, 8300.434570, 8188.768066, 8276.732422
333, 8361.934570, 8262.836914, 8289.833984
334, 8469.693359, 8220.092773, 8328.073242
335, 8401.548828, 8381.469727, 8302.027344
336, 8452.435547, 8384.487305, 8400.322266
337, 8513.753906, 8327.608398, 8421.041016
338, 8460.715820, 8313.430664, 8423.633789
339, 8516.221680, 8441.873047, 8470.773438
340, 8462.381836, 8395.736328, 8438.776367
341, 8482.737305, 8423.704102, 8472.626953
342, 8602.513672, 8606.361328, 8642.393555
343, 8776.031250, 8705.856445, 8743.708984
344, 8612.512695, 8540.155273, 8574.861328
345, 8581.411133, 8499.625977, 8585.126953
346, 8756.411133, 8585.802734, 8648.682617
347, 8641.162109, 8584.030273, 8595.857422
348, 8736.826172, 8713.251953, 8657.706055
349, 8785.272461, 8718.695313, 8689.419922
350, 8771.947266, 8667.389648, 8730.232422
351, 8750.044922, 8659.738281, 8710.873047
352, 8758.624023, 8713.654297, 8767.348633
353, 8784.772461, 8725.855469, 8753.083984
354, 8835.266602, 8739.566406, 8782.718750
355, 8856.635742, 8819.216797, 8850.032227
356, 8881.053711, 8808.091797, 8825.663086
357, 8884.205078, 8826.019531, 8853.306641
358, 8905.839844, 8863.032227, 8878.570313
359, 8934.013672, 8881.453125, 8933.136719
360, 8951.702148, 8906.795898, 8969.353516
361, 9317.020508, 9495.428711, 8991.375977
362, 9107.262695, 9088.922852, 9055.626953
363, 9056.685547, 9005.762695, 9055.063477
364, 9053.268555, 9008.205078, 9014.486328
365, 9221.657227, 9116.450195, 9036.798828
366, 9104.055664, 9059.674805, 9099.420898
367, 9131.634766, 9162.857422, 9153.010742
368, 9215.932617, 9112.595703, 9152.851563
369, 9300.993164, 9157.220703, 9181.875977
370, 9281.619141, 9235.251953, 9247.438477
371, 9246.392578, 9195.884766, 9236.182617
372, 9237.638672, 9181.658203, 9249.239258
373, 9313.374023, 9260.585938, 9282.813477
374, 9364.357422, 9299.898438, 9312.720703
375, 9392.195313, 9273.580078, 9334.741211
376, 9362.060547, 9304.376953, 9335.634766
377, 9455.335938, 9353.618164, 9545.923828
378, 9439.603516, 9460.622070, 9516.112305
379, 9494.911133, 9424.193359, 9450.670898
