BubbleSort
Elements, Best, Worst, Average
388, 55705.894531, 88861.796875, 71556.273438
389, 55743.156250, 88977.335938, 72481.234375
390, 57109.949219, 89559.078125, 72482.343750
391, 56529.906250, 90195.257813, 72614.953125
392, 56582.710938, 91051.015625, 73004.085938
393, 56821.511719, 90478.054688, 73742.421875
394, 57493.929688, 91243.679688, 73787.203125
395, 58901.929688, 91768.757813, 73944.085938
396, 58595.332031, 92403.367188, 74409.257813
397, 58616.917969, 92726.515625, 74815.312500
398, 59108.238281, 93123.523438, 75460.531250
399, 58782.324219, 93355.257813, 75705.328125
400, 59019.175781, 93889.812500, 76903.781250
401, 59221.210938, 95062.546875, 76879.296875
402, 59821.414063, 96186.437500, 76714.515625
403, 60737.886719, 95343.421875, 76759.226563
404, 60094.570313, 95945.718750, 77683.765625
405, 60597.757813, 97278.140625, 77574.921875
406, 60798.023438, 97468.843750, 79383.757813
407, 61411.335938, 98008.960938, 78728.671875
408, 61595.855469, 98056.140625, 79536.382813
409, 61857.570313, 98772.835938, 79587.398438
410, 62045.156250, 99686.664063, 80130.882813
411, 62501.914063, 99556.234375, 80293.687500
412, 62791.000000, 100155.203125, 81176.460938
413, 63199.699219, 100735.984375, 81142.289063
414, 63494.445313, 101234.023438, 81553.265625
415, 63771.769531, 101471.671875, 82169.531250
416, 64165.210938, 102151.562500, 82319.718750
417, 64222.605469, 102666.992188, 83335.460938
418, 64872.613281, 103131.210938, 83257.929688
419, 64854.429688, 103549.796875, 83671.671875
420, 65295.351563, 104033.695313, 83756.039063
421, 65608.976563, 104697.390625, 84110.687500
422, 65870.632813, 104734.484375, 84694.265625
423, 66239.171875, 105519.437500, 85045.773438
424, 66716.187500, 107001.476563, 85953.234375
425, 66661.304688, 107790.835938, 86004.984375
426, 67212.523438, 107143.953125, 86346.906250
427, 67469.179688, 107516.671875, 86823.632813
428, 67693.375000, 108095.453125, 87209.171875
429, 67845.531250, 108401.546875, 87456.398438
430, 68173.421875, 108573.101563, 87546.867188
431, 68918.960938, 109206.140625, 88250.859375
432, 68882.453125, 109985.664063, 88390.937500
433, 69068.359375, 110041.796875, 89140.218750
